ad_id,type,price,area,bedrooms,bathrooms,level,furnished,rent,city,region
Ad id 194250863,dsduwphqw,3600000.0,183.0,3,2,2,no,no,fdlur,qhz fdlur - ho wdjdprd
Ad id 186399763,dsduwphqw,1980000.0,218.0,4,3,2,no,no,fdlur,qhz fdlur - ho wdjdprd
Ad id 194184868,gxsoha,780000.0,260.0,4,4,2,no,no,fdlur,qhz fdlur - ho wdjdprd
Ad id 193606276,dsduwphqw,1758000.0,155.0,3,2,3,no,no,fdlur,qhz fdlur - ho wdjdprd
Ad id 194292038,dsduwphqw,1750000.0,168.0,3,2,1,no,no,fdlur,qhz fdlur - ho wdjdprd
Ad id 194110294,dsduwphqw,4400000.0,165.0,3,3,3,no,no,fdlur,qhz fdlur - ho wdjdprd
Ad id 194282872,dsduwphqw,3800000.0,192.0,3,3,ground,no,no,fdlur,qhz fdlur - ho wdjdprd
Ad id 194267739,dsduwphqw,2748000.0,148.0,3,2,5,no,no,fdlur,qhz fdlur - ho wdjdprd
Ad id 194254501,dsduwphqw,390000.0,165.0,3,3,2,no,no,fdlur,qhz fdlur - ho wdjdprd
Ad id 193689694,dsduwphqw,2575000.0,275.0,4,3,1,no,no,jlcd,6wk ri rfwrehu
Ad id 194150565,dsduwphqw,1960000.0,200.0,3,3,3,no,no,fdlur,qhz fdlur - ho wdjdprd
Ad id 194321122,shqwkrxvh,498000.0,161.0,3,2,5,no,no,fdlur,qhz fdlur - ho wdjdprd
Ad id 194165833,dsduwphqw,1280000.0,197.0,3,3,1,no,no,jlcd,6wk ri rfwrehu
Ad id 194321314,gxsoha,4016517.0,175.0,3,3,ground,no,no,jlcd,6wk ri rfwrehu
Ad id 194283343,dsduwphqw,370000.0,155.0,3,2,3,no,no,fdlur,qhz fdlur - ho wdjdprd
Ad id 194265260,dsduwphqw,3700000.0,155.0,3,3,3,no,no,fdlur,qhz fdlur - ho wdjdprd
Ad id 194242646,dsduwphqw,960000.0,130.0,3,2,2,no,no,fdlur,qhz fdlur - ho wdjdprd
Ad id 194149483,dsduwphqw,3800000.0,147.0,3,2,ground,no,no,fdlur,qhz fdlur - ho wdjdprd
Ad id 194186459,dsduwphqw,3100000.0,174.0,2,2,3,no,no,fdlur,qhz fdlur - ho wdjdprd
Ad id 194234507,dsduwphqw,2600000.0,165.0,3,3,3,no,no,fdlur,qhz fdlur - ho wdjdprd
Ad id 194251190,dsduwphqw,1650000.0,116.0,3,2,4,no,no,fdlur,pdglqdwb
Ad id 194305482,dsduwphqw,600000.0,205.0,3,2,3,no,no,fdlur,vkrurxn flwb
Ad id 193947156,dsduwphqw,165000.0,110.0,2,1,10,no,no,fdlur,qhz qrckd
Ad id 194321313,gxsoha,73000.0,300.0,3,3,ground,yes,yes,fdlur,prndwwdp
Ad id 194269435,vwxglr,15000.0,105.0,1,1,highest,yes,yes,jlcd,6wk ri rfwrehu
Ad id 194266494,dsduwphqw,12000.0,200.0,3,3,1,no,yes,fdlur,qhz fdlur - ho wdjdprd
Ad id 194325693,dsduwphqw,8500.0,130.0,3,2,2,yes,yes,fdlur,qhz fdlur - ho wdjdprd
Ad id 192775003,dsduwphqw,1200.0,180.0,3,2,2,yes,yes,fdlur,qhz fdlur - ho wdjdprd
Ad id 194281360,dsduwphqw,5000.0,130.0,2,1,3,no,yes,fdlur,qhz fdlur - ho wdjdprd
Ad id 194337594,dsduwphqw,8500.0,200.0,3,1,ground,no,yes,fdlur,qdvu flwb
Ad id 192108854,dsduwphqw,3000.0,170.0,3,2,ground,no,yes,jlcd,kdgdbhn do-dkudp
Ad id 194318105,dsduwphqw,7000.0,160.0,3,2,ground,no,yes,fdlur,qhz fdlur - ho wdjdprd
Ad id 194114556,dsduwphqw,3000.0,130.0,3,2,2,no,yes,fdlur,qhz fdlur - ho wdjdprd
Ad id 194232763,dsduwphqw,15000.0,280.0,4,2,6,no,yes,fdlur,qdvu flwb
Ad id 194265773,dsduwphqw,18000.0,134.0,3,2,3,no,yes,jlcd,vkhlnk cdbhg
Ad id 194168189,dsduwphqw,22000.0,266.0,3,3,2,no,yes,jlcd,6wk ri rfwrehu
Ad id 194298652,gxsoha,23000.0,240.0,3,3,2,no,yes,jlcd,vkhlnk cdbhg
Ad id 194298915,dsduwphqw,12000.0,70.0,2,1,3,no,yes,jlcd,vkhlnk cdbhg
Ad id 194323453,dsduwphqw,11000.0,200.0,2,2,10,no,yes,dohadqguld,ndiu degr
Ad id 194266361,dsduwphqw,18000.0,108.0,3,1,2,yes,yes,fdlur,uhkde flwb
Ad id 194239897,dsduwphqw,10000.0,171.0,3,3,2,no,yes,fdlur,uhkde flwb
Ad id 194168066,dsduwphqw,22500.0,250.0,3,3,3,yes,yes,fdlur,qdvu flwb
Ad id 194315439,dsduwphqw,15000.0,400.0,4,3,2,yes,yes,fdlur,qhz fdlur - ho wdjdprd
Ad id 194305318,dsduwphqw,21000.0,208.0,3,3,3,no,yes,fdlur,qhz fdlur - ho wdjdprd
Ad id 194234345,dsduwphqw,22500.0,210.0,3,3,4,no,yes,fdlur,qhz fdlur - ho wdjdprd
Ad id 194280827,dsduwphqw,20000.0,330.0,3,3,3,yes,yes,fdlur,qhz fdlur - ho wdjdprd
Ad id 194058816,dsduwphqw,14000.0,137.0,3,2,3,yes,yes,fdlur,pdglqdwb
Ad id 193911133,dsduwphqw,30000.0,197.0,3,3,2,yes,yes,fdlur,qhz fdlur - ho wdjdprd
Ad id 194254521,dsduwphqw,30000.0,133.0,2,2,4,yes,yes,fdlur,qhz fdlur - ho wdjdprd
Ad id 194236928,dsduwphqw,10000.0,200.0,3,3,ground,yes,yes,fdlur,qhz fdlur - ho wdjdprd
Ad id 194305108,dsduwphqw,4000.0,120.0,3,1,3,no,yes,fdlur,qdvu flwb
Ad id 194222408,dsduwphqw,11000.0,150.0,3,2,ground,yes,yes,fdlur,qhz fdlur - ho wdjdprd
Ad id 194211880,dsduwphqw,35000.0,390.0,4,4,6,no,yes,fdlur,kholrsrolv
Ad id 194270527,gxsoha,45000.0,253.0,4,3,ground,yes,yes,fdlur,qhz fdlur - ho wdjdprd
Ad id 194226863,dsduwphqw,17000.0,148.0,2,3,3,no,yes,fdlur,qhz fdlur - ho wdjdprd
Ad id 194200889,dsduwphqw,7000.0,170.0,3,2,3,no,yes,dohadqguld,vprkd
Ad id 187728009,dsduwphqw,250.0,90.0,2,1,7,yes,yes,jlcd,whuvd
Ad id 194302201,dsduwphqw,27000.0,140.0,2,3,2,yes,yes,fdlur,qhz fdlur - ho wdjdprd
Ad id 194266245,dsduwphqw,500.0,175.0,2,2,6,yes,yes,fdlur,qdvu flwb
Ad id 194265912,dsduwphqw,8500.0,131.0,3,2,3,no,yes,fdlur,uhkde flwb
Ad id 193812523,dsduwphqw,1000.0,220.0,3,2,10+,yes,yes,dohadqguld,vwdqohb
Ad id 194280581,vwxglr,15000.0,88.0,1,1,2,yes,yes,fdlur,qhz fdlur - ho wdjdprd
Ad id 194272217,dsduwphqw,15000.0,160.0,3,2,2,yes,yes,fdlur,qhz fdlur - ho wdjdprd
Ad id 194300652,dsduwphqw,18000.0,139.0,3,3,3,yes,yes,fdlur,uhkde flwb
Ad id 194287865,dsduwphqw,20000.0,200.0,3,3,2,yes,yes,fdlur,qhz fdlur - ho wdjdprd
Ad id 193009315,dsduwphqw,17000.0,280.0,3,3,2,no,yes,dohadqguld,urxvkgb
Ad id 194289187,dsduwphqw,20000.0,133.0,2,2,1,no,yes,fdlur,qhz fdlur - ho wdjdprd
Ad id 178912333,dsduwphqw,32000.0,145.0,2,2,2,yes,yes,fdlur,qhz fdlur - ho wdjdprd
Ad id 194340199,dsduwphqw,1400000.0,140.0,3,3,2,no,no,fdlur,qhz fdlur - ho wdjdprd
Ad id 194340159,dsduwphqw,4950000.0,150.0,3,2,1,no,no,fdlur,qhz fdlur - ho wdjdprd
Ad id 194210081,vwxglr,320000.0,30.0,1,1,3,yes,no,uhg vhd,kxujkdgd
Ad id 192648161,dsduwphqw,2700000.0,200.0,4,3,ground,no,no,fdlur,qhz fdlur - ho wdjdprd
Ad id 194340123,dsduwphqw,240000.0,115.0,3,1,3,no,no,fdlur,qhz fdlur - ho wdjdprd
Ad id 194340088,dsduwphqw,6500000.0,155.0,2,2,2,no,no,fdlur,qhz fdlur - ho wdjdprd
Ad id 194332983,dsduwphqw,900000.0,160.0,3,2,2,no,no,fdlur,rerxu flwb
Ad id 144653711,dsduwphqw,2600000.0,210.0,3,2,10,yes,no,fdlur,qdvu flwb
Ad id 194340044,dsduwphqw,985000.0,150.0,3,3,ground,no,no,fdlur,qhz fdlur - ho wdjdprd
Ad id 194340032,dsduwphqw,400000.0,185.0,3,2,3,no,no,fdlur,qhz fdlur - ho wdjdprd
Ad id 194340008,dsduwphqw,360000.0,110.0,2,2,2,no,no,dohadqguld,djdpl
Ad id 194339779,dsduwphqw,695000.0,80.0,3,1,6,no,no,gdndkold,pdqvxud
Ad id 194333366,dsduwphqw,800000.0,160.0,4,2,5,no,no,jlcd,6wk ri rfwrehu
Ad id 194339976,gxsoha,3000000.0,330.0,4,4,1,no,no,fdlur,qhz fdlur - ho wdjdprd
Ad id 194300493,dsduwphqw,280000.0,130.0,2,2,2,no,no,fdlur,qhz fdlur - ho wdjdprd
Ad id 194339909,dsduwphqw,4000000.0,199.0,3,3,2,no,no,fdlur,qhz fdlur - ho wdjdprd
Ad id 194339845,dsduwphqw,3075000.0,162.0,3,3,4,no,no,fdlur,qhz fdlur - ho wdjdprd
Ad id 194339800,dsduwphqw,1414705.0,132.0,3,2,4,no,no,fdlur,pddgl
Ad id 194339740,dsduwphqw,3800000.0,140.0,2,2,2,no,no,fdlur,qhz fdlur - ho wdjdprd
Ad id 165352705,dsduwphqw,685500.0,150.0,3,2,1,no,no,jlcd,6wk ri rfwrehu
Ad id 148936811,dsduwphqw,1537700.0,205.0,3,3,1,no,no,jlcd,6wk ri rfwrehu
Ad id 194339699,dsduwphqw,470000.0,126.0,3,2,5,no,no,jlcd,kdgdbhn do-dkudp
Ad id 194339663,dsduwphqw,650000.0,150.0,3,2,8,yes,no,jlcd,idlvdo
Ad id 194305127,gxsoha,3500000.0,260.0,4,3,ground,no,no,fdlur,qhz fdlur - ho wdjdprd
Ad id 164646058,dsduwphqw,688000.0,150.0,3,2,1,no,no,jlcd,6wk ri rfwrehu
Ad id 151955895,dsduwphqw,1020000.0,200.0,3,2,1,no,no,jlcd,6wk ri rfwrehu
Ad id 148694183,dsduwphqw,685000.0,150.0,3,2,1,no,no,jlcd,6wk ri rfwrehu
Ad id 147224224,dsduwphqw,1538000.0,206.0,3,3,3,no,no,jlcd,6wk ri rfwrehu
Ad id 194339583,dsduwphqw,1250000.0,130.0,3,2,5,no,no,fdlur,qhz fdlur - ho wdjdprd
Ad id 152862134,dsduwphqw,754000.0,150.0,3,2,3,no,no,jlcd,6wk ri rfwrehu
Ad id 194339539,dsduwphqw,420000.0,130.0,3,2,ground,no,no,fdlur,qhz fdlur - ho wdjdprd
Ad id 194339536,dsduwphqw,5000000.0,127.0,2,2,2,no,no,fdlur,qhz fdlur - ho wdjdprd
Ad id 194339490,dsduwphqw,1100000.0,140.0,3,2,1,no,no,fdlur,qhz fdlur - ho wdjdprd
Ad id 194339235,dsduwphqw,1200000.0,175.0,3,3,ground,no,no,fdlur,rerxu flwb
Ad id 194339463,dsduwphqw,3000000.0,135.0,3,2,7,no,no,dohadqguld,vkdweb
Ad id 194339424,dsduwphqw,1150000.0,130.0,3,2,5,no,no,fdlur,qhz fdlur - ho wdjdprd
Ad id 147161229,dsduwphqw,685000.0,150.0,3,2,1,no,no,jlcd,6wk ri rfwrehu
Ad id 194339375,dsduwphqw,5300000.0,127.0,2,2,3,no,no,fdlur,qhz fdlur - ho wdjdprd
Ad id 194339367,dsduwphqw,1350000.0,150.0,3,2,ground,no,no,fdlur,qhz fdlur - ho wdjdprd
Ad id 194320767,dsduwphqw,3921000.0,165.0,3,2,3,no,no,fdlur,qhz fdlur - ho wdjdprd
Ad id 194320184,dsduwphqw,430000.0,150.0,3,2,ground,no,no,fdlur,qhz fdlur - ho wdjdprd
Ad id 194319939,dsduwphqw,360000.0,110.0,2,2,ground,no,no,jlcd,vkhlnk cdbhg
Ad id 194317974,dsduwphqw,550000.0,100.0,1,1,6,yes,no,fdlur,dlq vkdpv
Ad id 194317596,dsduwphqw,625000.0,135.0,3,1,5,no,no,jlcd,kdgdbhn do-dkudp
Ad id 194317362,dsduwphqw,2680000.0,234.0,4,3,2,no,no,fdlur,qhz fdslwdo flwb
Ad id 194340026,dsduwphqw,4700.0,82.0,2,1,2,no,yes,fdlur,pdglqdwb
Ad id 194339985,dsduwphqw,5000.0,107.0,2,1,2,no,yes,fdlur,pdglqdwb
Ad id 194318788,dsduwphqw,15000.0,99.0,2,1,3,yes,yes,fdlur,uhkde flwb
Ad id 194339877,dsduwphqw,6000.0,130.0,3,2,2,no,yes,jlcd,vkhlnk cdbhg
Ad id 194339872,dsduwphqw,8000.0,175.0,3,2,4,no,yes,dohadqguld,ndiu degr
Ad id 194339784,dsduwphqw,21000.0,240.0,3,3,1,no,yes,fdlur,qhz fdlur - ho wdjdprd
Ad id 194334418,dsduwphqw,48000.0,82.0,2,1,1,no,yes,fdlur,qhz kholrsrolv
Ad id 192784654,dsduwphqw,14000.0,85.0,3,1,ground,yes,yes,jlcd,grnnl
Ad id 194339630,dsduwphqw,15000.0,99.0,2,1,2,yes,yes,fdlur,uhkde flwb
Ad id 194339624,dsduwphqw,12000.0,160.0,3,2,2,yes,yes,fdlur,qhz fdlur - ho wdjdprd
Ad id 194339480,dsduwphqw,7000.0,165.0,3,1,3,no,yes,dohadqguld,ndiu degr
Ad id 194338709,dsduwphqw,20000.0,300.0,4,3,1,no,yes,fdlur,qdvu flwb
Ad id 194336353,dsduwphqw,16000.0,90.0,2,1,1,yes,yes,fdlur,uhkde flwb
Ad id 194315750,dsduwphqw,5000.0,100.0,2,1,3,yes,yes,uhg vhd,kxujkdgd
Ad id 194285226,dsduwphqw,9500.0,175.0,3,3,6,no,yes,fdlur,pdglqdwb
Ad id 194284904,dsduwphqw,6500.0,135.0,3,2,1,no,yes,fdlur,pdglqdwb
Ad id 194246867,dsduwphqw,19000.0,165.0,3,3,1,no,yes,fdlur,qhz fdlur - ho wdjdprd
Ad id 193795409,dsduwphqw,20000.0,208.0,3,3,3,no,yes,fdlur,qhz fdlur - ho wdjdprd
Ad id 193410162,dsduwphqw,13000.0,150.0,3,2,9,yes,yes,dohadqguld,vprkd
Ad id 191326963,gxsoha,10000.0,350.0,3,3,ground,yes,yes,fdlur,qhz fdlur - ho wdjdprd
Ad id 190621694,dsduwphqw,400.0,250.0,3,3,4,yes,yes,fdlur,qdvu flwb
Ad id 184037124,dsduwphqw,500.0,200.0,3,3,4,yes,yes,fdlur,qhz fdlur - ho wdjdprd
Ad id 194339132,dsduwphqw,17000.0,90.0,2,1,1,yes,yes,fdlur,uhkde flwb
Ad id 194339025,vwxglr,28000.0,100.0,1,1,ground,yes,yes,fdlur,qhz fdlur - ho wdjdprd
Ad id 194338998,dsduwphqw,20000.0,136.0,3,2,1,yes,yes,fdlur,uhkde flwb
Ad id 194336718,dsduwphqw,14000.0,165.0,3,2,1,yes,yes,fdlur,qhz fdlur - ho wdjdprd
Ad id 194325982,dsduwphqw,24000.0,197.0,3,2,1,yes,yes,fdlur,qhz fdlur - ho wdjdprd
Ad id 194286948,dsduwphqw,2000.0,70.0,2,1,ground,yes,yes,ehql vxhi,ehql vxhi flwb
Ad id 194338889,gxsoha,34000.0,290.0,3,4,ground,no,yes,fdlur,qhz fdlur - ho wdjdprd
Ad id 194338799,dsduwphqw,600.0,125.0,2,2,10+,yes,yes,dohadqguld,pldpl
Ad id 194338755,dsduwphqw,17000.0,90.0,2,1,ground,yes,yes,fdlur,uhkde flwb
Ad id 194338713,dsduwphqw,5000.0,190.0,3,2,3,no,yes,jlcd,vkhlnk cdbhg
Ad id 194338621,gxsoha,30000.0,311.0,3,4,2,yes,yes,fdlur,qhz fdlur - ho wdjdprd
Ad id 194338464,dsduwphqw,17000.0,99.0,2,1,ground,yes,yes,fdlur,uhkde flwb
Ad id 194338416,dsduwphqw,9000.0,175.0,3,3,6,no,yes,fdlur,pdglqdwb
Ad id 194338408,dsduwphqw,600.0,190.0,3,2,3,yes,yes,fdlur,qdvu flwb
Ad id 194338368,dsduwphqw,9000.0,175.0,3,3,4,no,yes,fdlur,pdglqdwb
Ad id 194338362,dsduwphqw,5000.0,130.0,2,1,9,no,yes,fdlur,kholrsrolv
Ad id 140159170,dsduwphqw,30000.0,200.0,3,3,3,yes,yes,fdlur,pddgl
Ad id 194338104,dsduwphqw,10500.0,145.0,3,2,5,no,yes,fdlur,pdglqdwb
Ad id 194338094,gxsoha,33000.0,300.0,3,3,ground,no,yes,fdlur,qhz fdlur - ho wdjdprd
Ad id 194338050,dsduwphqw,40000.0,280.0,3,5,3,yes,yes,jlcd,vkhlnk cdbhg
Ad id 194337870,vwxglr,7000.0,60.0,1,1,ground,yes,yes,fdlur,uhkde flwb
Ad id 194337775,dsduwphqw,8500.0,149.0,3,3,ground,no,yes,fdlur,pdglqdwb
Ad id 194317140,dsduwphqw,625000.0,120.0,2,2,3,yes,no,fdlur,edgu flwb
Ad id 194315861,dsduwphqw,450000.0,146.0,3,1,8,yes,no,fdlur,qhz qrckd
Ad id 194304265,dsduwphqw,2595000.0,153.0,3,3,2,yes,no,fdlur,qhz fdlur - ho wdjdprd
Ad id 194302236,dsduwphqw,500000.0,140.0,3,2,3,no,no,fdlur,edgu flwb
Ad id 194302140,dsduwphqw,270000.0,90.0,3,1,ground,no,no,fdlur,kdgdbhn do-nreed
Ad id 194301775,dsduwphqw,2200000.0,215.0,3,2,2,no,no,fdlur,qhz fdlur - ho wdjdprd
Ad id 194301577,dsduwphqw,2770000.0,164.0,3,2,3,no,no,fdlur,qhz fdlur - ho wdjdprd
Ad id 194301489,dsduwphqw,2750000.0,180.0,4,2,4,no,no,fdlur,kholrsrolv
Ad id 194301436,dsduwphqw,4300000.0,230.0,3,3,2,no,no,fdlur,qhz fdlur - ho wdjdprd
Ad id 194301378,dsduwphqw,100000.0,125.0,3,2,9,no,no,jlcd,pdqvxulbbd
Ad id 194301250,dsduwphqw,800000.0,125.0,3,1,10,no,no,fdlur,dlq vkdpv
Ad id 194301238,dsduwphqw,9000000.0,239.0,3,3,2,no,no,fdlur,qhz fdlur - ho wdjdprd
Ad id 194285175,dsduwphqw,2162160.0,63.0,1,1,5,no,no,fdlur,qhz fdslwdo flwb
Ad id 194266433,dsduwphqw,1730000.0,152.0,3,3,2,no,no,fdlur,pdglqdwb
Ad id 194249300,dsduwphqw,6168835.0,217.0,4,2,5,no,no,jlcd,6wk ri rfwrehu
Ad id 194249277,dsduwphqw,7000000.0,210.0,3,3,2,no,no,fdlur,qhz fdlur - ho wdjdprd
Ad id 194248855,dsduwphqw,2000000.0,194.0,3,3,highest,no,no,fdlur,qhz fdlur - ho wdjdprd
Ad id 194248597,dsduwphqw,1600000.0,171.0,3,3,2,no,no,fdlur,qhz fdlur - ho wdjdprd
Ad id 194231571,dsduwphqw,570000.0,166.0,3,2,ground,no,no,fdlur,qhz fdlur - ho wdjdprd
Ad id 194231538,dsduwphqw,2300000.0,130.0,2,2,3,no,no,jlcd,kdgdbhn 6wk ri rfwrehu
Ad id 194199582,dsduwphqw,3350000.0,190.0,3,3,4,no,no,dohadqguld,vprkd
Ad id 194189637,dsduwphqw,1125000.0,125.0,3,1,3,no,no,dohadqguld,vhbrxi
Ad id 194163936,dsduwphqw,438350.0,162.0,3,3,2,no,no,fdlur,qhz fdlur - ho wdjdprd
Ad id 194112842,dsduwphqw,460000.0,132.0,3,2,ground,no,no,jlcd,vkhlnk cdbhg
Ad id 194065419,dsduwphqw,10762500.0,294.0,3,3,ground,no,no,fdlur,prndwwdp
Ad id 194065105,dsduwphqw,8500000.0,244.0,3,3,2,no,no,fdlur,prndwwdp
Ad id 194064484,dsduwphqw,8490000.0,223.0,3,3,1,no,no,fdlur,prndwwdp
Ad id 194062805,dsduwphqw,6800240.0,139.0,2,2,3,no,no,fdlur,prndwwdp
Ad id 194062017,dsduwphqw,7687500.0,221.0,3,3,4,no,no,fdlur,prndwwdp
Ad id 194061014,dsduwphqw,6931092.0,225.0,3,3,2,no,no,fdlur,prndwwdp
Ad id 194060507,dsduwphqw,12931503.0,314.0,3,3,ground,no,no,fdlur,prndwwdp
Ad id 194060096,dsduwphqw,5322051.0,170.0,2,2,3,no,no,fdlur,prndwwdp
Ad id 194006082,dsduwphqw,5596605.0,138.0,2,2,2,no,no,fdlur,qhz fdlur - ho wdjdprd
Ad id 193985349,dsduwphqw,1502200.0,171.0,3,3,1,yes,no,fdlur,qhz fdlur - ho wdjdprd
Ad id 193876819,dsduwphqw,551000.0,213.0,3,2,2,yes,no,fdlur,qhz fdlur - ho wdjdprd
Ad id 193766136,dsduwphqw,6252500.0,200.0,3,3,2,no,no,fdlur,qhz fdlur - ho wdjdprd
Ad id 193553702,shqwkrxvh,2850000.0,210.0,3,3,3,no,no,fdlur,qhz fdlur - ho wdjdprd
Ad id 194337747,dsduwphqw,9000.0,200.0,3,2,4,yes,yes,fdlur,qdvu flwb
Ad id 193942805,gxsoha,40000.0,300.0,4,3,ground,no,yes,fdlur,qhz fdlur - ho wdjdprd
Ad id 194337719,dsduwphqw,4000.0,80.0,2,1,ground,no,yes,jlcd,kdgdbhn 6wk ri rfwrehu
Ad id 194327253,dsduwphqw,7500.0,131.0,3,2,1,no,yes,fdlur,uhkde flwb
Ad id 194305630,dsduwphqw,36000.0,289.0,4,4,1,no,yes,fdlur,qhz fdlur - ho wdjdprd
Ad id 194337546,dsduwphqw,2500.0,80.0,2,1,4,no,yes,jlcd,kdgdbhn 6wk ri rfwrehu
Ad id 194337179,dsduwphqw,25000.0,100.0,1,1,ground,yes,yes,fdlur,qhz fdlur - ho wdjdprd
Ad id 194337160,vwxglr,24000.0,100.0,1,1,ground,yes,yes,fdlur,qhz fdlur - ho wdjdprd
Ad id 194337098,dsduwphqw,500.0,125.0,2,1,3,yes,yes,jlcd,6wk ri rfwrehu
Ad id 194337095,dsduwphqw,6000.0,116.0,3,2,1,no,yes,fdlur,pdglqdwb
Ad id 194337065,dsduwphqw,7500.0,124.0,3,2,ground,no,yes,fdlur,pdglqdwb
Ad id 194336966,gxsoha,35000.0,210.0,3,3,2,yes,yes,fdlur,qhz fdlur - ho wdjdprd
Ad id 194336953,dsduwphqw,5500.0,96.0,2,2,5,yes,yes,fdlur,pdglqdwb
Ad id 194336902,dsduwphqw,10000.0,215.0,3,3,1,no,yes,jlcd,vkhlnk cdbhg
Ad id 194336888,gxsoha,25000.0,278.0,4,4,ground,no,yes,fdlur,qhz fdlur - ho wdjdprd
Ad id 194336877,dsduwphqw,17000.0,140.0,3,2,3,yes,yes,fdlur,pdglqdwb
Ad id 194336839,dsduwphqw,20000.0,160.0,2,3,1,yes,yes,fdlur,qhz fdlur - ho wdjdprd
Ad id 194336788,dsduwphqw,15000.0,139.0,2,2,5,yes,yes,fdlur,qhz fdlur - ho wdjdprd
Ad id 194336756,dsduwphqw,14000.0,146.0,2,2,1,yes,yes,fdlur,qhz fdlur - ho wdjdprd
Ad id 194336710,dsduwphqw,25000.0,25.0,3,4,3,yes,yes,fdlur,qhz fdlur - ho wdjdprd
Ad id 194336670,dsduwphqw,23000.0,200.0,3,3,3,yes,yes,fdlur,qhz fdlur - ho wdjdprd
Ad id 194336650,dsduwphqw,16000.0,99.0,2,1,3,yes,yes,fdlur,uhkde flwb
Ad id 194336432,dsduwphqw,10000.0,70.0,3,2,6,yes,yes,fdlur,qdvu flwb
Ad id 194336424,dsduwphqw,6000.0,125.0,3,1,3,yes,yes,dohadqguld,vprkd
Ad id 194336056,dsduwphqw,3500.0,130.0,4,2,1,no,yes,fdlur,kdgdbhn khozdq
Ad id 194335552,urrp,7500.0,130.0,3,1,8,yes,yes,fdlur,qdvu flwb
Ad id 194335238,dsduwphqw,4240.0,132.0,3,2,2,no,yes,fdlur,qdvu flwb
Ad id 194316175,dsduwphqw,3500.0,170.0,3,2,3,no,yes,jlcd,idlvdo
Ad id 194265400,dsduwphqw,17000.0,138.0,2,2,2,no,yes,fdlur,qhz fdlur - ho wdjdprd
Ad id 194251325,dsduwphqw,15000.0,139.0,2,2,5,no,yes,fdlur,qhz fdlur - ho wdjdprd
Ad id 193654506,dsduwphqw,5500.0,185.0,3,1,2,yes,yes,jlcd,6wk ri rfwrehu
Ad id 194336600,dsduwphqw,6500.0,102.0,2,1,4,yes,yes,fdlur,qhz fdlur - ho wdjdprd
Ad id 194336596,dsduwphqw,10000.0,200.0,3,3,3,no,yes,fdlur,pdglqdwb
Ad id 194336571,dsduwphqw,15000.0,220.0,3,2,1,no,yes,jlcd,vkhlnk cdbhg
Ad id 194336563,dsduwphqw,9000.0,220.0,3,3,ground,no,yes,fdlur,qhz fdlur - ho wdjdprd
Ad id 194336520,dsduwphqw,7000.0,140.0,3,2,4,no,yes,fdlur,pdglqdwb
Ad id 194336511,vwxglr,15000.0,90.0,1,1,ground,yes,yes,fdlur,qhz fdlur - ho wdjdprd
Ad id 194336464,dsduwphqw,15000.0,79.0,2,1,3,yes,yes,fdlur,pdglqdwb
